# Complete USDA Foundation Foods Nutrient Analysis
# Generated from scanning the entire dataset
# Total unique nutrients found: 227
# Total foods analyzed: 65

## All Nutrients (sorted by frequency)
Format: Nutrient Name | Frequency | Example Foods
================================================================================

SFA 20:0 | 66 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Vitamin K (Dihydrophylloquinone) | 65 foods | Hummus, commercial | Tomatoes, grape, raw | Nuts, almonds, dry roasted, with salt added
PUFA 18:2 c | 65 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 18:3 c | 65 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Total fat (NLEA) | 65 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 22:6 n-3 (DHA) | 64 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 20:5 n-3 (EPA) | 64 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
SFA 17:0 | 64 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
SFA 24:0 | 64 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
SFA 15:0 | 64 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Vitamin E (alpha-tocopherol) | 64 foods | Hummus, commercial | Tomatoes, grape, raw | Frankfurter, beef, unheated
PUFA 22:5 n-3 (DPA) | 63 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 20:3 c | 63 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 20:3 n-6 | 62 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Tocopherol, delta | 60 foods | Hummus, commercial | Tomatoes, grape, raw | Frankfurter, beef, unheated
SFA 8:0 | 60 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 20:4 | 60 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
SFA 4:0 | 60 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
SFA 6:0 | 60 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Tocopherol, beta | 60 foods | Hummus, commercial | Tomatoes, grape, raw | Frankfurter, beef, unheated
Tocopherol, gamma | 60 foods | Hummus, commercial | Tomatoes, grape, raw | Frankfurter, beef, unheated
Vitamin K (Menaquinone-4) | 60 foods | Hummus, commercial | Tomatoes, grape, raw | Nuts, almonds, dry roasted, with salt added
MUFA 14:1 c | 60 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 20:4c | 60 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Tocotrienol, gamma | 59 foods | Hummus, commercial | Tomatoes, grape, raw | Frankfurter, beef, unheated
Tocotrienol, delta | 59 foods | Hummus, commercial | Tomatoes, grape, raw | Frankfurter, beef, unheated
SFA 22:0 | 59 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Tocotrienol, alpha | 59 foods | Hummus, commercial | Tomatoes, grape, raw | Frankfurter, beef, unheated
Tocotrienol, beta | 59 foods | Hummus, commercial | Tomatoes, grape, raw | Frankfurter, beef, unheated
PUFA 20:5c | 59 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 22:6 c | 59 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
MUFA 17:1 | 58 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 20:2 n-6 c,c | 58 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
MUFA 17:1 c | 58 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 22:5 c | 58 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 20:2 c | 58 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 18:2 CLAs | 57 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
TFA 16:1 t | 56 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Fatty acids, total trans-monoenoic | 56 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
TFA 18:1 t | 56 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
TFA 18:2 t not further defined | 56 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Pantothenic acid | 54 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
MUFA 22:1 c | 53 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 18:4 | 53 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 18:3 n-6 c,c,c | 53 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Retinol | 53 foods | Frankfurter, beef, unheated | Cheese, parmesan, grated | Cheese, pasteurized process, American, vitamin D fortified
Tryptophan | 53 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
Threonine | 53 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
Methionine | 53 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
Phenylalanine | 53 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
Isoleucine | 53 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
